"","month","SettlementPoint","year","AvgPrice"
"260",5,"LZ_HOUSTON",2017,32.3626478494624
"261",5,"LZ_HOUSTON",2018,35.5330376344086
"262",5,"LZ_HOUSTON",2019,25.1536155913978
"263",5,"LZ_LCRA",2016,18.1827822580645
"264",5,"LZ_LCRA",2017,25.6379569892473
"265",5,"LZ_LCRA",2018,34.7354032258065
"266",5,"LZ_LCRA",2019,24.5086827956989
"267",5,"LZ_NORTH",2016,18.1828897849462
"268",5,"LZ_NORTH",2017,24.5575134408602
"269",5,"LZ_NORTH",2018,37.4518817204301
"270",5,"LZ_NORTH",2019,24.0114516129032
"271",5,"LZ_RAYBN",2016,18.3209946236559
"272",5,"LZ_RAYBN",2017,24.0013306451613
"273",5,"LZ_RAYBN",2018,40.95125
"274",5,"LZ_RAYBN",2019,24.7881586021505
"275",5,"LZ_SOUTH",2016,20.691747311828
"276",5,"LZ_SOUTH",2017,29.9797311827957
"277",5,"LZ_SOUTH",2018,41.2744220430108
"278",5,"LZ_SOUTH",2019,27.2109946236559
"279",5,"LZ_WEST",2016,17.7375268817204
"280",5,"LZ_WEST",2017,22.8677956989247
"281",5,"LZ_WEST",2018,49.6001209677419
"282",5,"LZ_WEST",2019,28.8519892473118
"283",6,"HB_BUSAVG",2016,23.9098194444444
"284",6,"HB_BUSAVG",2017,27.6691527777778
"285",6,"HB_BUSAVG",2018,29.966125
"286",6,"HB_BUSAVG",2019,25.0855416666667
"287",6,"HB_HOUSTON",2016,26.2557361111111
"288",6,"HB_HOUSTON",2017,33.1683472222222
"289",6,"HB_HOUSTON",2018,30.6284861111111
"290",6,"HB_HOUSTON",2019,26.8976805555556
"291",6,"HB_HUBAVG",2016,24.2978472222222
"292",6,"HB_HUBAVG",2017,28.5138472222222
"293",6,"HB_HUBAVG",2018,29.7818611111111
"294",6,"HB_HUBAVG",2019,25.1715416666667
"295",6,"HB_NORTH",2016,23.1580555555556
"296",6,"HB_NORTH",2017,25.8905694444444
"297",6,"HB_NORTH",2018,30.2118888888889
"298",6,"HB_NORTH",2019,25.1758194444444
"299",6,"HB_PAN",2019,20.7313194444444
"300",6,"HB_SOUTH",2016,24.645375
"301",6,"HB_SOUTH",2017,29.6546944444444
"302",6,"HB_SOUTH",2018,30.0686388888889
"303",6,"HB_SOUTH",2019,23.9043611111111
"304",6,"HB_WEST",2016,23.1419305555556
"305",6,"HB_WEST",2017,25.3316944444444
"306",6,"HB_WEST",2018,28.2770277777778
"307",6,"HB_WEST",2019,24.7085555555556
"308",6,"LZ_AEN",2016,24.2375138888889
"309",6,"LZ_AEN",2017,27.9166388888889
"310",6,"LZ_AEN",2018,30.286125
"311",6,"LZ_AEN",2019,24.4167916666667
"312",6,"LZ_CPS",2016,24.9580694444444
"313",6,"LZ_CPS",2017,30.416
"314",6,"LZ_CPS",2018,30.7272777777778
"315",6,"LZ_CPS",2019,26.3912916666667
"316",6,"LZ_HOUSTON",2016,29.9150833333333
"317",6,"LZ_HOUSTON",2017,33.6689166666667
"318",6,"LZ_HOUSTON",2018,31.8023472222222
"319",6,"LZ_HOUSTON",2019,27.2267361111111
"320",6,"LZ_LCRA",2016,24.1644166666667
"321",6,"LZ_LCRA",2017,28.6390833333333
"322",6,"LZ_LCRA",2018,30.3655555555556
"323",6,"LZ_LCRA",2019,24.5195416666667
"324",6,"LZ_NORTH",2016,23.5626805555556
"325",6,"LZ_NORTH",2017,26.8937361111111
"326",6,"LZ_NORTH",2018,31.3016111111111
"327",6,"LZ_NORTH",2019,25.2079166666667
"328",6,"LZ_RAYBN",2016,23.3159444444444
"329",6,"LZ_RAYBN",2017,26.1250416666667
"330",6,"LZ_RAYBN",2018,31.9455833333333
"331",6,"LZ_RAYBN",2019,25.4585138888889
"332",6,"LZ_SOUTH",2016,27.4716527777778
"333",6,"LZ_SOUTH",2017,36.7834444444444
"334",6,"LZ_SOUTH",2018,32.2586805555556
"335",6,"LZ_SOUTH",2019,27.2595972222222
"336",6,"LZ_WEST",2016,23.4887638888889
"337",6,"LZ_WEST",2017,27.5123194444444
"338",6,"LZ_WEST",2018,57.9675277777778
"339",6,"LZ_WEST",2019,32.0267777777778
"340",7,"HB_BUSAVG",2016,27.1874731182796
"341",7,"HB_BUSAVG",2017,31.4542741935484
"342",7,"HB_BUSAVG",2018,78.8594489247312
"343",7,"HB_BUSAVG",2019,29.729623655914
"344",7,"HB_HOUSTON",2016,29.5389247311828
"345",7,"HB_HOUSTON",2017,34.3758333333333
"346",7,"HB_HOUSTON",2018,79.0340456989247
"347",7,"HB_HOUSTON",2019,29.9110080645161
"348",7,"HB_HUBAVG",2016,27.4592069892473
"349",7,"HB_HUBAVG",2017,31.8644086021505
"350",7,"HB_HUBAVG",2018,78.8323252688172
"351",7,"HB_HUBAVG",2019,29.6962365591398
"352",7,"HB_NORTH",2016,26.8007930107527
"353",7,"HB_NORTH",2017,30.654314516129
"354",7,"HB_NORTH",2018,78.9684543010753
"355",7,"HB_NORTH",2019,29.7812903225806
"356",7,"HB_PAN",2019,28.3845698924731
"357",7,"HB_SOUTH",2016,26.9602553763441
"358",7,"HB_SOUTH",2017,32.1294623655914
"359",7,"HB_SOUTH",2018,78.8473790322581
"360",7,"HB_SOUTH",2019,29.6375
"361",7,"HB_WEST",2016,26.543561827957
"362",7,"HB_WEST",2017,30.2936424731183
"363",7,"HB_WEST",2018,78.5175537634409
"364",7,"HB_WEST",2019,29.4554704301075
"365",7,"LZ_AEN",2016,27.9761021505376
"366",7,"LZ_AEN",2017,31.401438172043
"367",7,"LZ_AEN",2018,78.9513709677419
"368",7,"LZ_AEN",2019,29.7090860215054
"369",7,"LZ_CPS",2016,27.9679569892473
"370",7,"LZ_CPS",2017,32.1152956989247
"371",7,"LZ_CPS",2018,79.124435483871
"372",7,"LZ_CPS",2019,30.6671774193548
"373",7,"LZ_HOUSTON",2016,29.9118682795699
"374",7,"LZ_HOUSTON",2017,34.7258333333333
"375",7,"LZ_HOUSTON",2018,79.5665322580645
"376",7,"LZ_HOUSTON",2019,30.013064516129
"377",7,"LZ_LCRA",2016,27.5922177419355
"378",7,"LZ_LCRA",2017,31.9057123655914
"379",7,"LZ_LCRA",2018,79.0699462365591
"380",7,"LZ_LCRA",2019,29.7479166666667
"381",7,"LZ_NORTH",2016,27.4157795698925
"382",7,"LZ_NORTH",2017,31.1868413978495
"383",7,"LZ_NORTH",2018,79.8461827956989
"384",7,"LZ_NORTH",2019,29.8349462365591
"385",7,"LZ_RAYBN",2016,27.4710752688172
"386",7,"LZ_RAYBN",2017,30.760497311828
"387",7,"LZ_RAYBN",2018,84.9019086021505
"388",7,"LZ_RAYBN",2019,30.0297177419355
"389",7,"LZ_SOUTH",2016,28.8895833333333
"390",7,"LZ_SOUTH",2017,34.1932930107527
"391",7,"LZ_SOUTH",2018,80.4475672043011
"392",7,"LZ_SOUTH",2019,31.1321639784946
"393",7,"LZ_WEST",2016,27.1787903225806
"394",7,"LZ_WEST",2017,31.1301747311828
"395",7,"LZ_WEST",2018,101.470967741935
"396",7,"LZ_WEST",2019,32.075685483871
"397",8,"HB_BUSAVG",2016,30.5671370967742
"398",8,"HB_BUSAVG",2017,27.5070161290323
"399",8,"HB_BUSAVG",2018,31.6615591397849
"400",8,"HB_BUSAVG",2019,126.384086021505
"401",8,"HB_HOUSTON",2016,32.9725403225806
"402",8,"HB_HOUSTON",2017,29.4017204301075
"403",8,"HB_HOUSTON",2018,31.944247311828
"404",8,"HB_HOUSTON",2019,126.625336021505
"405",8,"HB_HUBAVG",2016,30.9485349462366
"406",8,"HB_HUBAVG",2017,27.8386155913979
"407",8,"HB_HUBAVG",2018,31.6945833333333
"408",8,"HB_HUBAVG",2019,126.349838709677
"409",8,"HB_NORTH",2016,29.8283870967742
"410",8,"HB_NORTH",2017,26.8327284946237
"411",8,"HB_NORTH",2018,31.6030510752688
"412",8,"HB_NORTH",2019,126.52185483871
"413",8,"HB_PAN",2019,124.991733870968
"414",8,"HB_SOUTH",2016,31.2079704301075
"415",8,"HB_SOUTH",2017,28.3150268817204
"416",8,"HB_SOUTH",2018,31.6675268817204
"417",8,"HB_SOUTH",2019,125.936545698925
"418",8,"HB_WEST",2016,29.7867338709677
"419",8,"HB_WEST",2017,26.8170430107527
"420",8,"HB_WEST",2018,31.5601209677419
"421",8,"HB_WEST",2019,126.315282258065
"422",8,"LZ_AEN",2016,30.6995161290323
"423",8,"LZ_AEN",2017,27.4656182795699
"424",8,"LZ_AEN",2018,31.7321370967742
"425",8,"LZ_AEN",2019,126.526922043011
"426",8,"LZ_CPS",2016,31.3065725806452
"427",8,"LZ_CPS",2017,28.1375672043011
"428",8,"LZ_CPS",2018,31.865685483871
"429",8,"LZ_CPS",2019,127.696209677419
"430",8,"LZ_HOUSTON",2016,33.5635483870968
"431",8,"LZ_HOUSTON",2017,30.0314784946237
"432",8,"LZ_HOUSTON",2018,32.159623655914
"433",8,"LZ_HOUSTON",2019,126.693387096774
"434",8,"LZ_LCRA",2016,31.1755779569892
"435",8,"LZ_LCRA",2017,27.6780107526882
"436",8,"LZ_LCRA",2018,31.8079704301075
"437",8,"LZ_LCRA",2019,126.670766129032
"438",8,"LZ_NORTH",2016,30.1485752688172
"439",8,"LZ_NORTH",2017,27.0603629032258
"440",8,"LZ_NORTH",2018,31.9715860215054
"441",8,"LZ_NORTH",2019,126.600913978495
"442",8,"LZ_RAYBN",2016,30.1497580645161
"443",8,"LZ_RAYBN",2017,26.8248252688172
"444",8,"LZ_RAYBN",2018,32.5187231182796
"445",8,"LZ_RAYBN",2019,126.897889784946
"446",8,"LZ_SOUTH",2016,31.8233064516129
"447",8,"LZ_SOUTH",2017,33.4578494623656
"448",8,"LZ_SOUTH",2018,33.6906317204301
"449",8,"LZ_SOUTH",2019,127.109018817204
"450",8,"LZ_WEST",2016,30.010564516129
"451",8,"LZ_WEST",2017,27.2139112903226
"452",8,"LZ_WEST",2018,33.2898521505376
"453",8,"LZ_WEST",2019,128.876465053763
"454",9,"HB_BUSAVG",2016,26.86175
"455",9,"HB_BUSAVG",2017,24.1841666666667
"456",9,"HB_BUSAVG",2018,27.1754444444444
"457",9,"HB_BUSAVG",2019,79.615625
