"","SettlementPoint","year","HourlyVolatility"
"54","HB_HOUSTON",2017,0.155527525409894
"55","HB_HOUSTON",2018,0.120433700064934
"56","HB_HOUSTON",2019,0.17094080660431
"57","HB_HUBAVG",2016,0.229642310148
"58","HB_HUBAVG",2017,0.131583236689025
"59","HB_HUBAVG",2018,0.140659589634635
"60","HB_HUBAVG",2019,0.223270482063578
"61","HB_NORTH",2016,0.211442606359838
"62","HB_NORTH",2017,0.0997308916065319
"63","HB_NORTH",2018,0.109732209431345
"64","HB_NORTH",2019,0.17065940579033
"65","HB_SOUTH",2016,0.232819824318898
"66","HB_SOUTH",2017,0.121293881008707
"67","HB_SOUTH",2018,0.108908572456757
"68","HB_SOUTH",2019,0.213802293906673
"69","HB_WEST",2016,0.27747264668833
"70","HB_WEST",2017,0.39852393522935
"71","HB_WEST",2018,0.513321620661652
"72","HB_WEST",2019,0.726129330376878
"73","HB_BUSAVG",2016,0.29478620978529
"74","HB_BUSAVG",2017,0.0968172435643247
"75","HB_BUSAVG",2018,0.105361649453087
"76","HB_BUSAVG",2019,0.206335027891727
"77","HB_HOUSTON",2016,0.296743001827834
"78","HB_HOUSTON",2017,0.145030871393794
"79","HB_HOUSTON",2018,0.0984381585158205
"80","HB_HOUSTON",2019,0.190958844277713
"81","HB_HUBAVG",2016,0.308573256532896
"82","HB_HUBAVG",2017,0.112323779451429
"83","HB_HUBAVG",2018,0.134987067313302
